"ID","ChoiceSet","Alternative","Weed","Crawl","Fly","Cost","F","ChosenAlternative"
1,1,1,25,10,20,0,0,2
1,1,2,10,6,20,20,0,2
1,1,3,25,4,12,60,0,2
1,2,1,25,10,20,0,0,3
1,2,2,20,2,16,20,0,3
1,2,3,15,2,20,40,0,3
1,3,1,25,10,20,0,0,3
1,3,2,20,4,20,20,0,3
1,3,3,20,6,12,60,0,3
2,1,1,25,10,20,0,0,3
2,1,2,20,4,16,40,0,3
2,1,3,15,4,4,20,0,3
2,2,1,25,10,20,0,0,2
2,2,2,10,8,12,60,0,2
2,2,3,10,4,8,100,0,2
2,3,1,25,10,20,0,0,1
2,3,2,5,8,20,20,0,1
2,3,3,10,8,20,100,0,1
3,1,1,25,10,20,0,0,2
3,1,2,25,4,8,20,0,2
3,1,3,10,2,16,100,0,2
3,2,1,25,10,20,0,0,2
3,2,2,5,4,8,40,0,2
3,2,3,25,10,16,60,0,2
3,3,1,25,10,20,0,0,3
3,3,2,20,2,12,100,0,3
3,3,3,20,8,4,20,0,3
4,1,1,25,10,20,0,0,2
4,1,2,20,8,8,100,0,2
4,1,3,15,4,20,80,0,2
4,2,1,25,10,20,0,0,3
4,2,2,15,6,20,40,0,3
4,2,3,20,4,8,40,0,3
4,3,1,25,10,20,0,0,2
4,3,2,15,2,16,40,0,2
4,3,3,25,4,4,80,0,2
5,1,1,25,10,20,0,1,3
5,1,2,15,10,20,40,1,3
5,1,3,5,10,12,20,1,3
5,2,1,25,10,20,0,1,2
5,2,2,15,4,4,80,1,2
5,2,3,20,4,12,100,1,2
5,3,1,25,10,20,0,1,3
5,3,2,25,2,12,40,1,3
5,3,3,10,2,12,40,1,3
6,1,1,25,10,20,0,0,2
6,1,2,15,2,20,20,0,2
6,1,3,10,8,16,100,0,2
6,2,1,25,10,20,0,0,3
6,2,2,5,10,20,60,0,3
6,2,3,10,2,4,40,0,3
6,3,1,25,10,20,0,0,3
6,3,2,25,6,12,60,0,3
6,3,3,25,6,4,100,0,3
7,1,1,25,10,20,0,1,2
7,1,2,5,8,16,80,1,2
7,1,3,20,2,20,20,1,2
7,2,1,25,10,20,0,1,3
7,2,2,20,6,8,40,1,3
7,2,3,5,10,4,100,1,3
7,3,1,25,10,20,0,1,3
7,3,2,10,6,4,40,1,3
7,3,3,15,6,12,20,1,3
8,1,1,25,10,20,0,0,3
8,1,2,25,8,12,40,0,3
8,1,3,20,8,12,40,0,3
8,2,1,25,10,20,0,0,2
8,2,2,5,8,8,100,0,2
8,2,3,25,2,20,40,0,2
8,3,1,25,10,20,0,0,3
8,3,2,10,8,8,100,0,3
8,3,3,15,10,8,60,0,3
9,1,1,25,10,20,0,0,2
9,1,2,5,2,12,100,0,2
9,1,3,5,4,12,80,0,2
9,2,1,25,10,20,0,0,2
9,2,2,25,4,8,100,0,2
9,2,3,20,8,4,60,0,2
9,3,1,25,10,20,0,0,3
9,3,2,15,10,4,80,0,3
9,3,3,5,6,8,20,0,3
10,1,1,25,10,20,0,0,3
10,1,2,15,4,12,40,0,3
10,1,3,10,10,4,20,0,3
10,2,1,25,10,20,0,0,2
10,2,2,10,8,16,20,0,2
10,2,3,15,4,12,100,0,2
10,3,1,25,10,20,0,0,3
10,3,2,25,2,4,60,0,3
10,3,3,20,10,4,20,0,3
